# emoji-zwj-sequences.txt
# Date: 2018-02-07, 08:40:26 GMT
# © 2018 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# Emoji ZWJ Sequences for UTS #51
# Version: 11.0
#
# For documentation and usage, see http://www.unicode.org/reports/tr51
#
# Format:
#   code_point(s) ; type_field ; description # comments 
# Fields:
#   code_point(s): one or more code points in hex format, separated by spaces
#   type_field: Emoji_ZWJ_Sequence
#     The type_field is a convenience for parsing the emoji sequence files, and is not intended to be maintained as a property.
#   short name: CLDR short name of sequence; characters may be escaped with \x{hex}.
#
# Characters and sequences are listed in code point order. Users should be shown a more natural order.
# See the CLDR collation order for Emoji.

# ================================================

# Emoji ZWJ Sequence: Family

1F468 200D 2764 FE0F 200D 1F468             ; Emoji_ZWJ_Sequence  ; couple with heart: man, man                                    #  6.0  [1] (👨‍❤️‍👨)
1F64B 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman raising hand: medium-dark skin tone                      #  8.0  [1] (🙋🏾‍♀️)
1F64B 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man raising hand: medium-dark skin tone                        #  8.0  [1] (🙋🏾‍♂️)
1F64B 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman raising hand: dark skin tone                             #  8.0  [1] (🙋🏿‍♀️)
1F64B 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man raising hand: dark skin tone                               #  8.0  [1] (🙋🏿‍♂️)
1F64D 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman frowning                                                 #  6.0  [1] (🙍‍♀️)
1F64D 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man frowning                                                   #  6.0  [1] (🙍‍♂️)
1F64D 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman frowning: light skin tone                                #  8.0  [1] (🙍🏻‍♀️)
1F64D 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man frowning: light skin tone                                  #  8.0  [1] (🙍🏻‍♂️)
1F64D 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman frowning: medium-light skin tone                         #  8.0  [1] (🙍🏼‍♀️)
1F64D 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man frowning: medium-light skin tone                           #  8.0  [1] (🙍🏼‍♂️)
1F64D 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman frowning: medium skin tone                               #  8.0  [1] (🙍🏽‍♀️)
1F64D 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man frowning: medium skin tone                                 #  8.0  [1] (🙍🏽‍♂️)
1F64D 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman frowning: medium-dark skin tone                          #  8.0  [1] (🙍🏾‍♀️)
1F64D 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man frowning: medium-dark skin tone                            #  8.0  [1] (🙍🏾‍♂️)
1F64D 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman frowning: dark skin tone                                 #  8.0  [1] (🙍🏿‍♀️)
1F64D 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man frowning: dark skin tone                                   #  8.0  [1] (🙍🏿‍♂️)
1F64E 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman pouting                                                  #  6.0  [1] (🙎‍♀️)
1F64E 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man pouting                                                    #  6.0  [1] (🙎‍♂️)
1F64E 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman pouting: light skin tone                                 #  8.0  [1] (🙎🏻‍♀️)
1F64E 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man pouting: light skin tone                                   #  8.0  [1] (🙎🏻‍♂️)
1F64E 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman pouting: medium-light skin tone                          #  8.0  [1] (🙎🏼‍♀️)
1F64E 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man pouting: medium-light skin tone                            #  8.0  [1] (🙎🏼‍♂️)
1F64E 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman pouting: medium skin tone                                #  8.0  [1] (🙎🏽‍♀️)
1F64E 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man pouting: medium skin tone                                  #  8.0  [1] (🙎🏽‍♂️)
1F64E 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman pouting: medium-dark skin tone                           #  8.0  [1] (🙎🏾‍♀️)
1F64E 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man pouting: medium-dark skin tone                             #  8.0  [1] (🙎🏾‍♂️)
1F64E 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman pouting: dark skin tone                                  #  8.0  [1] (🙎🏿‍♀️)
1F64E 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man pouting: dark skin tone                                    #  8.0  [1] (🙎🏿‍♂️)
1F926 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman facepalming                                              #  9.0  [1] (🤦‍♀️)
1F926 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man facepalming                                                #  9.0  [1] (🤦‍♂️)
1F926 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman facepalming: light skin tone                             #  9.0  [1] (🤦🏻‍♀️)
1F926 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man facepalming: light skin tone                               #  9.0  [1] (🤦🏻‍♂️)
1F926 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman facepalming: medium-light skin tone                      #  9.0  [1] (🤦🏼‍♀️)
1F926 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man facepalming: medium-light skin tone                        #  9.0  [1] (🤦🏼‍♂️)
1F926 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman facepalming: medium skin tone                            #  9.0  [1] (🤦🏽‍♀️)
1F926 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man facepalming: medium skin tone                              #  9.0  [1] (🤦🏽‍♂️)
1F926 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman facepalming: medium-dark skin tone                       #  9.0  [1] (🤦🏾‍♀️)
1F926 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man facepalming: medium-dark skin tone                         #  9.0  [1] (🤦🏾‍♂️)
1F926 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman facepalming: dark skin tone                              #  9.0  [1] (🤦🏿‍♀️)
1F926 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man facepalming: dark skin tone                                #  9.0  [1] (🤦🏿‍♂️)
1F937 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman shrugging                                                #  9.0  [1] (🤷‍♀️)
1F937 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man shrugging                                                  #  9.0  [1] (🤷‍♂️)
1F937 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman shrugging: light skin tone                               #  9.0  [1] (🤷🏻‍♀️)
1F937 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man shrugging: light skin tone                                 #  9.0  [1] (🤷🏻‍♂️)
1F937 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman shrugging: medium-light skin tone                        #  9.0  [1] (🤷🏼‍♀️)
1F937 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man shrugging: medium-light skin tone                          #  9.0  [1] (🤷🏼‍♂️)
1F937 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman shrugging: medium skin tone                              #  9.0  [1] (🤷🏽‍♀️)
1F937 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man shrugging: medium skin tone                                #  9.0  [1] (🤷🏽‍♂️)
1F937 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman shrugging: medium-dark skin tone                         #  9.0  [1] (🤷🏾‍♀️)
1F937 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man shrugging: medium-dark skin tone                           #  9.0  [1] (🤷🏾‍♂️)
1F937 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman shrugging: dark skin tone                                #  9.0  [1] (🤷🏿‍♀️)
1F937 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man shrugging: dark skin tone                                  #  9.0  [1] (🤷🏿‍♂️)
1F9B8 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman superhero                                                # 11.0  [1] (🦸‍♀️)
1F9B8 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man superhero                                                  # 11.0  [1] (🦸‍♂️)
1F9B8 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman superhero: light skin tone                               # 11.0  [1] (🦸🏻‍♀️)
1F9B8 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man superhero: light skin tone                                 # 11.0  [1] (🦸🏻‍♂️)
1F9B8 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman superhero: medium-light skin tone                        # 11.0  [1] (🦸🏼‍♀️)
1F9B8 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man superhero: medium-light skin tone                          # 11.0  [1] (🦸🏼‍♂️)
1F9B8 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman superhero: medium skin tone                              # 11.0  [1] (🦸🏽‍♀️)
1F9B8 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man superhero: medium skin tone                                # 11.0  [1] (🦸🏽‍♂️)
1F9B8 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman superhero: medium-dark skin tone                         # 11.0  [1] (🦸🏾‍♀️)
1F9B8 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man superhero: medium-dark skin tone                           # 11.0  [1] (🦸🏾‍♂️)
1F9B8 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman superhero: dark skin tone                                # 11.0  [1] (🦸🏿‍♀️)
1F9B8 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man superhero: dark skin tone                                  # 11.0  [1] (🦸🏿‍♂️)
1F9B9 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman supervillain                                             # 11.0  [1] (🦹‍♀️)
1F9B9 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man supervillain                                               # 11.0  [1] (🦹‍♂️)
1F9B9 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman supervillain: light skin tone                            # 11.0  [1] (🦹🏻‍♀️)
1F9B9 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man supervillain: light skin tone                              # 11.0  [1] (🦹🏻‍♂️)
1F9B9 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman supervillain: medium-light skin tone                     # 11.0  [1] (🦹🏼‍♀️)
1F9B9 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man supervillain: medium-light skin tone                       # 11.0  [1] (🦹🏼‍♂️)
1F9B9 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman supervillain: medium skin tone                           # 11.0  [1] (🦹🏽‍♀️)
1F9B9 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man supervillain: medium skin tone                             # 11.0  [1] (🦹🏽‍♂️)
1F9B9 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman supervillain: medium-dark skin tone                      # 11.0  [1] (🦹🏾‍♀️)
1F9B9 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man supervillain: medium-dark skin tone                        # 11.0  [1] (🦹🏾‍♂️)
1F9B9 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman supervillain: dark skin tone                             # 11.0  [1] (🦹🏿‍♀️)
1F9B9 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man supervillain: dark skin tone                               # 11.0  [1] (🦹🏿‍♂️)

# Total elements: 132

# ================================================

# Emoji ZWJ Sequence: Other

1F3F3 FE0F 200D 1F308                       ; Emoji_ZWJ_Sequence  ; rainbow flag                                                   #  7.0  [1] (🏳️‍🌈)
1F3F4 200D 2620 FE0F                        ; Emoji_ZWJ_Sequence  ; pirate flag                                                    #  7.0  [1] (🏴‍☠️)
1F441 FE0F 200D 1F5E8 FE0F                  ; Emoji_ZWJ_Sequence  ; eye in speech bubble                                           #  7.0  [1] (👁️‍🗨️)

# Total elements: 3

#EOF
